name,vegetable
Alabama,Broccoli
Alaska,Tomato
Arizona,Broccoli
Arkansas,Carrot
California,Broccoli
Colorado,Broccoli
Connecticut,Broccoli
Delaware,Carrot
Florida,Broccoli
Georgia,Broccoli
Hawaii,Cucumber
Idaho,Carrot
Illinois,Broccoli
Indiana,Broccoli
Iowa,Corn
Kansas,Broccoli
Kentucky,Broccoli
Louisiana,Cucumber
Maine,Broccoli
Maryland,Broccoli
Massachusetts,Broccoli
Michigan,Broccoli
Minnesota,Broccoli
Mississippi,Broccoli
Missouri,Cucumber
Montana,Carrot
Nebraska,Tomato
Nevada,Broccoli
New Hampshire,Carrot
New Jersey,Broccoli
New Mexico,Broccoli
New York,Broccoli
North Carolina,Broccoli
North Dakota,Tomato
Ohio,Broccoli
Oklahoma,Broccoli
Oregon,Broccoli
Pennsylvania,Broccoli
Rhode Island,Broccoli
South Carolina,Broccoli
South Dakota,Carrot
Tennessee,Broccoli
Texas,Broccoli
Utah,Broccoli
Vermont,Broccoli
Virginia,Broccoli
Washington,Broccoli
Washington D.C.,Broccoli
West Virginia,Broccoli
Wisconsin,Carrot
Wyoming,Broccoli